CPU,RAM (GB),HDD (GB),Velikost displeje ("),Rozliseni displeje,Cena (Kc)
Intel I3-5200U:0.05,24:0.87,320 HDD:0.00,13:0.42,1366x768:0.14,25383
Intel I7-6200U:0.58,6:0.37,256 SSD:0.75,14:0.71,1600x900:0.28,30444
Intel I5-7200U:0.82,24:0.87,240 SSD:0.62,15.6:0.85,1920x1080:0.57,36481
Intel I7-7200U:0.94,3:0.12,512 SSD:1.00,10:0.00,3840x2160:1.00,41607
Intel I5-6200U:0.47,32:1.00,512 SSD:1.00,13:0.42,1680x1050:0.42,40783
Intel I7-5500U:0.29,2:0.00,320 HDD:0.00,12:0.28,2560x1440:0.71,26841
Intel I3-5200U:0.05,24:0.87,128 SSD:0.50,12:0.28,2560x1440:0.71,32593
Intel I5-6500U:0.52,4:0.25,240 SSD:0.62,11:0.14,2880x1800:0.85,30093
Intel I7-6500U:0.64,6:0.37,750 HDD:0.25,15.6:0.85,1680x1050:0.42,31370
Intel I5-6200U:0.47,2:0.00,240 SSD:0.62,12:0.28,1920x1080:0.57,29145
Intel I5-7500U:0.88,2:0.00,240 SSD:0.62,17.3:1.00,1280x800:0.00,30726
Intel I7-7200U:0.94,6:0.37,128 SSD:0.50,11:0.14,1920x1080:0.57,30848
Intel I3-5100U:0.00,2:0.00,750 HDD:0.25,17.3:1.00,1600x900:0.28,29278
Intel I5-7500U:0.88,12:0.62,320 SSD:0.87,10:0.00,1920x1080:0.57,34194
Intel I5-7200U:0.82,6:0.37,256 SSD:0.75,13:0.42,1600x900:0.28,28724
Intel I3-6100U:0.35,16:0.75,512 SSD:1.00,10:0.00,1680x1050:0.42,35003
Intel I7-7200U:0.94,2:0.00,1 000 HDD:0.37,13:0.42,1680x1050:0.42,25742
Intel I5-5200U:0.11,3:0.12,512 SSD:1.00,11:0.14,1366x768:0.14,33225
Intel I5-7500U:0.88,2:0.00,320 SSD:0.87,13.3:0.57,2560x1440:0.71,32470
Intel I5-6200U:0.47,3:0.12,256 SSD:0.75,11:0.14,1920x1080:0.57,28154
Intel I7-5200U:0.23,16:0.75,320 HDD:0.00,14:0.71,1366x768:0.14,29117
Intel I5-5500U:0.17,4:0.25,320 HDD:0.00,17.3:1.00,3840x2160:1.00,38514
Intel I7-5500U:0.29,6:0.37,256 SSD:0.75,14:0.71,1600x900:0.28,33170
Intel I7-5500U:0.29,4:0.25,500 HDD:0.12,17.3:1.00,1920x1080:0.57,34357
Intel I5-5500U:0.17,4:0.25,320 HDD:0.00,10:0.00,1920x1080:0.57,28228
Intel I7-5200U:0.23,6:0.37,256 SSD:0.75,13:0.42,1600x900:0.28,29061
Intel I5-5200U:0.11,16:0.75,128 SSD:0.50,13:0.42,1680x1050:0.42,29372
Intel I5-6200U:0.47,12:0.62,500 HDD:0.12,15.6:0.85,1366x768:0.14,29925
Intel I5-6200U:0.47,8:0.50,256 SSD:0.75,12:0.28,1680x1050:0.42,30651
Intel I5-7500U:0.88,2:0.00,512 SSD:1.00,14:0.71,1680x1050:0.42,35734
Intel I7-5200U:0.23,4:0.25,512 SSD:1.00,13.3:0.57,1680x1050:0.42,36251
Intel I3-7100U:0.70,24:0.87,512 SSD:1.00,13:0.42,2560x1440:0.71,39309
Intel I5-5500U:0.17,24:0.87,240 SSD:0.62,13.3:0.57,3840x2160:1.00,37752
Intel I3-6100U:0.35,2:0.00,750 HDD:0.25,13.3:0.57,1680x1050:0.42,25840
Intel I7-7500U:1.00,4:0.25,240 SSD:0.62,10:0.00,1280x800:0.00,28829
Intel I3-7100U:0.70,2:0.00,256 SSD:0.75,14:0.71,2560x1440:0.71,29049
Intel I5-5200U:0.11,6:0.37,256 SSD:0.75,17.3:1.00,1600x900:0.28,33874
Intel I7-6200U:0.58,4:0.25,500 HDD:0.12,15.6:0.85,1366x768:0.14,29359
Intel I5-5200U:0.11,24:0.87,1 000 HDD:0.37,12:0.28,2880x1800:0.85,32991
Intel I3-6200U:0.41,6:0.37,320 HDD:0.00,13.3:0.57,1920x1080:0.57,28652
Intel I5-6200U:0.47,6:0.37,240 SSD:0.62,17.3:1.00,1600x900:0.28,34442
Intel I7-5200U:0.23,8:0.50,512 SSD:1.00,12:0.28,2560x1440:0.71,38850
Intel I3-7200U:0.76,16:0.75,320 SSD:0.87,11:0.14,1280x800:0.00,31309
Intel I7-7200U:0.94,6:0.37,256 SSD:0.75,11:0.14,1920x1080:0.57,33154
Intel I3-6100U:0.35,4:0.25,240 SSD:0.62,14:0.71,2880x1800:0.85,33568
Intel I3-5100U:0.00,6:0.37,512 SSD:1.00,13:0.42,1680x1050:0.42,31387
Intel I5-5200U:0.11,32:1.00,256 SSD:0.75,13:0.42,1366x768:0.14,29832
Intel I3-6200U:0.41,4:0.25,320 SSD:0.87,13:0.42,3840x2160:1.00,37207
Intel I7-6500U:0.64,8:0.50,1 000 HDD:0.37,14:0.71,2560x1440:0.71,35479
Intel I5-6200U:0.47,24:0.87,750 HDD:0.25,12:0.28,1920x1080:0.57,31835
Intel I7-7200U:0.94,4:0.25,320 HDD:0.00,15.6:0.85,1280x800:0.00,29176
Intel I5-7500U:0.88,16:0.75,128 SSD:0.50,12:0.28,3840x2160:1.00,36853
Intel I7-5200U:0.23,3:0.12,1 000 HDD:0.37,11:0.14,1280x800:0.00,23802
Intel I3-7100U:0.70,12:0.62,1 000 HDD:0.37,14:0.71,1366x768:0.14,29043
